codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_vel,vento_direcao, vento_rajada,radiacao,precipitacao
A135,01/12/2019,22,29.9,32.0,29.9,54,55,48,19.6,20.1,19.5,999.7,999.8,999.6,1.5,78,5.7,119.6,0.0
A135,01/12/2019,01,26.8,27.3,26.4,79,81,78,22.8,23.2,22.8,1000.4,1000.4,999.5,1.0,43,2.3,-3.17,0.0
A135,01/12/2019,04,26.3,26.9,26.2,80,80,76,22.4,22.5,22.3,1001.0,1001.1,1000.9,1.4,70,4.2,-3.54,0.0
A135,01/12/2019,02,27.7,27.8,26.7,72,79,72,22.3,22.8,22.0,1000.7,1000.8,1000.4,2.3,53,5.0,-3.49,0.0
A135,01/12/2019,05,25.9,26.3,25.8,81,81,79,22.3,22.5,22.3,1000.7,1001.0,1000.7,1.4,75,5.1,-3.54,0.0
A135,01/12/2019,09,25.2,25.4,24.9,81,84,81,21.7,22.0,21.7,1000.3,1000.3,1000.1,2.1,42,5.3,-3.54,0.0
A135,01/12/2019,03,26.8,27.8,26.8,76,76,72,22.3,22.4,22.3,1000.9,1000.9,1000.7,1.6,85,6.0,-3.54,0.0
A135,01/12/2019,06,25.2,25.9,25.2,83,83,81,22.1,22.3,22.1,1000.3,1000.7,1000.2,1.0,53,3.7,-3.54,0.0
A135,01/12/2019,07,25.1,25.3,24.9,82,84,82,21.9,22.2,21.9,999.8,1000.2,999.8,1.4,50,3.8,-3.54,0.0
A135,01/12/2019,08,25.0,25.5,24.9,83,83,82,21.9,22.1,21.9,1000.1,1000.1,999.7,1.4,55,3.9,-3.54,0.0
A135,01/12/2019,11,25.6,25.6,24.8,81,84,81,22.1,22.2,21.8,1002.2,1002.2,1001.2,2.3,48,5.8,198.5,0.0
A135,01/12/2019,12,27.6,27.6,25.6,72,81,71,22.1,22.5,22.0,1003.0,1003.0,1002.2,3.4,53,7.5,987.5,0.0
A135,01/12/2019,10,24.8,25.2,24.8,83,83,81,21.8,21.8,21.7,1001.2,1001.2,1000.3,2.3,55,5.1,-0.26,0.0
A135,01/12/2019,13,29.2,29.3,27.6,64,72,63,21.6,22.3,21.4,1003.0,1003.1,1002.9,4.0,47,9.2,1884.,0.0
A135,01/12/2019,14,31.0,31.3,29.1,56,65,56,21.2,22.3,21.2,1003.0,1003.2,1002.9,3.9,64,9.3,2635.,0.0
A135,01/12/2019,15,31.3,31.7,29.7,55,61,54,21.1,22.0,20.9,1002.5,1003.1,1002.5,4.0,53,9.3,2825.,0.0
A135,01/12/2019,16,32.4,32.6,31.0,52,57,51,21.4,22.1,20.3,1002.1,1002.6,1002.1,3.0,62,8.5,3246.,0.0
A135,01/12/2019,00,26.4,27.8,26.4,81,81,75,22.9,23.0,22.3,999.6,999.6,998.4,0.9,19,2.8,-3.36,0.0
A135,01/12/2019,17,33.3,34.0,32.2,51,54,47,21.6,22.8,20.8,1001.3,1002.1,1001.3,2.8,53,6.6,3497.,0.0
A135,01/12/2019,18,32.6,33.9,32.1,50,52,48,20.7,22.1,20.5,1000.7,1001.3,1000.7,2.9,41,7.4,2988.,0.0
A135,01/12/2019,19,33.8,34.1,32.6,46,51,43,20.6,21.7,19.5,1000.1,1000.7,1000.1,2.4,61,6.5,2517.,0.0
A135,01/12/2019,20,32.9,33.8,32.6,45,48,43,19.6,20.8,18.8,1000.0,1000.1,999.8,2.4,82,6.4,1659.,0.0
A135,01/12/2019,21,31.9,33.1,31.9,48,48,44,19.4,20.1,19.1,999.8,1000.0,999.8,2.3,71,6.4,868.9,0.0
A135,01/12/2019,23,29.1,29.9,28.8,58,59,54,19.8,19.9,19.5,999.9,999.9,999.6,1.9,51,4.1,-3.54,0.0
A135,02/12/2019,00,28.5,29.2,28.5,59,60,57,19.9,20.0,19.7,1000.4,1000.4,999.9,2.3,51,5.9,-3.54,0.0
A135,02/12/2019,01,27.9,28.6,27.8,63,63,59,20.2,20.2,19.8,1001.0,1001.1,1000.4,2.9,49,6.8,-3.54,0.0
A135,02/12/2019,02,27.3,27.9,27.1,67,68,63,20.7,20.7,20.2,1001.5,1001.5,1001.0,2.7,54,6.8,-3.54,0.0
A135,02/12/2019,05,26.1,26.7,26.1,75,75,71,21.4,21.4,21.0,1001.9,1002.0,1001.9,1.9,48,4.7,-3.54,0.0
A135,02/12/2019,04,26.7,26.9,26.6,71,71,70,21.1,21.1,21.0,1002.0,1002.1,1001.9,1.9,57,4.7,-3.54,0.0
A135,02/12/2019,03,26.9,27.3,26.9,70,70,67,21.0,21.1,20.7,1001.9,1002.0,1001.5,2.1,47,6.0,-3.54,0.0
A135,02/12/2019,10,24.5,24.7,24.4,80,83,80,20.9,21.4,20.9,1001.6,1001.6,1001.2,2.0,50,5.3,-1.22,0.0
A135,02/12/2019,07,24.7,25.5,24.3,82,84,78,21.5,21.6,21.1,1001.3,1001.6,1001.2,1.1,43,2.3,-3.54,0.0
A135,02/12/2019,20,32.6,34.1,31.2,49,54,42,20.5,21.2,19.2,999.3,999.7,999.2,1.6,78,5.1,1113.,0.0
A135,02/12/2019,06,25.4,26.1,25.4,78,79,75,21.4,21.5,21.3,1001.6,1001.9,1001.5,1.2,33,3.4,-3.54,0.0
A135,02/12/2019,08,24.0,24.7,23.9,86,86,82,21.5,21.5,21.2,1001.1,1001.3,1000.9,0.8,60,2.1,-3.54,0.0
A135,02/12/2019,09,24.5,24.6,23.6,83,88,83,21.4,21.8,21.2,1001.3,1001.4,1001.1,1.4,37,3.5,-3.53,0.0
A135,02/12/2019,12,27.4,27.4,25.3,69,78,69,21.2,21.6,21.0,1003.2,1003.3,1002.4,4.0,36,8.5,1003.,0.0
A135,02/12/2019,13,28.7,29.1,27.4,63,70,62,20.9,21.8,20.9,1003.9,1003.9,1003.2,4.9,50,9.6,1931.,0.0
A135,02/12/2019,11,25.3,25.3,24.5,78,81,78,21.1,21.2,20.9,1002.4,1002.4,1001.6,2.2,39,5.5,127.1,0.0
A135,02/12/2019,14,30.5,30.5,28.7,59,64,57,21.6,21.9,20.9,1003.9,1004.0,1003.8,3.4,70,9.6,2643.,0.0
A135,02/12/2019,15,30.4,31.7,29.6,59,61,53,21.6,22.2,20.3,1003.5,1003.9,1003.5,3.1,60,7.5,2434.,0.0
A135,02/12/2019,16,32.9,33.0,30.4,51,59,50,21.4,22.2,20.5,1002.5,1003.5,1002.5,2.6,45,6.4,3175.,0.0
