codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_vel,vento_direcao, vento_rajada,radiacao,precipitacao
A421,01/12/2019,20,27.6,29.7,27.6,76,76,65,23.0,23.1,21.8,1011.9,1012.0,1011.8,0.0,48,4.6,960.6,0.0
A421,01/12/2019,23,25.8,26.1,25.7,83,84,82,22.6,22.9,22.6,1012.9,1012.9,1012.4,0.0,53,0.0,-3.54,0.0
A421,01/12/2019,00,26.1,26.4,26.1,83,84,82,23.0,23.2,23.0,1013.2,1013.2,1012.8,0.1,42,6.3,-3.54,0.0
A421,01/12/2019,03,25.4,25.7,25.4,87,88,85,23.0,23.3,23.0,1012.6,1013.1,1012.6,1.5,36,4.7,-3.54,0.0
A421,01/12/2019,01,26.2,26.3,26.1,83,84,82,23.0,23.3,23.0,1013.4,1013.4,1013.2,2.8,39,7.1,-3.54,0.0
A421,01/12/2019,04,25.4,25.6,25.4,86,87,86,22.9,23.2,22.9,1012.4,1012.6,1012.4,1.4,39,4.2,-3.53,0.0
A421,01/12/2019,02,25.7,26.2,25.7,85,85,83,23.0,23.1,23.0,1013.1,1013.4,1013.1,1.9,40,6.1,-3.54,0.0
A421,01/12/2019,05,24.5,25.4,24.5,89,89,86,22.7,23.0,22.7,1012.4,1012.5,1012.4,0.1,339,4.0,-3.54,0.0
A421,01/12/2019,09,23.5,23.5,21.6,97,98,96,23.0,23.0,21.0,1013.9,1013.9,1013.3,0.3,292,1.3,211.1,0.0
A421,01/12/2019,06,23.6,24.5,23.6,92,92,89,22.3,22.7,22.3,1012.5,1012.6,1012.4,0.0,3,2.3,-3.54,0.0
A421,01/12/2019,07,22.5,23.6,22.5,94,94,92,21.5,22.2,21.5,1012.8,1012.8,1012.4,0.0,315,2.1,-3.54,0.0
A421,01/12/2019,08,21.7,22.5,21.7,96,96,94,21.1,21.6,21.1,1013.4,1013.4,1012.8,0.0,265,0.2,0.560,0.0
A421,01/12/2019,11,29.5,29.7,27.0,67,79,67,22.9,23.6,22.8,1014.6,1014.6,1014.3,3.2,40,6.1,2512.,0.0
A421,01/12/2019,12,30.7,31.7,29.5,62,68,60,22.5,23.5,22.4,1014.6,1014.7,1014.6,3.5,47,7.6,3991.,0.0
A421,01/12/2019,10,27.0,27.3,23.5,78,97,78,22.9,23.9,22.9,1014.4,1014.4,1013.9,0.8,358,2.6,1594.,0.0
A421,01/12/2019,13,31.3,31.8,30.3,60,63,58,22.8,23.2,22.1,1014.4,1014.6,1014.4,0.0,43,8.2,4715.,0.0
A421,01/12/2019,22,26.1,26.6,26.0,82,82,78,22.7,22.7,22.4,1012.4,1012.4,1011.9,0.0,46,3.4,-3.54,0.0
A421,01/12/2019,14,31.4,32.6,30.7,60,63,56,22.9,23.2,22.1,1014.3,1014.5,1014.3,0.0,47,4.4,4977.,0.0
A421,01/12/2019,15,31.7,32.5,30.6,60,64,57,23.1,24.0,22.3,1013.6,1014.3,1013.6,0.0,46,5.9,4899.,0.0
A421,01/12/2019,16,31.5,32.5,30.4,61,63,58,23.0,23.9,22.3,1012.9,1013.6,1012.9,0.1,47,4.0,4713.,0.0
A421,01/12/2019,17,31.0,32.2,30.8,58,62,55,21.8,23.1,21.6,1012.3,1012.9,1012.3,0.0,50,6.4,4226.,0.0
A421,01/12/2019,18,30.8,31.5,30.0,60,62,56,22.2,22.4,21.2,1011.9,1012.3,1011.9,0.0,45,5.9,3404.,0.0
A421,01/12/2019,19,29.7,30.8,29.1,66,68,60,22.7,23.1,21.4,1011.9,1012.0,1011.9,0.0,49,5.5,2251.,0.0
A421,01/12/2019,21,26.6,27.6,26.4,79,79,76,22.5,23.1,22.5,1011.9,1012.0,1011.9,0.0,44,1.7,50.12,0.0
A421,02/12/2019,19,29.3,30.5,29.2,70,71,65,23.4,23.6,23.1,1008.6,1008.6,1008.5,0.0,43,7.8,2108.,0.0
A421,02/12/2019,21,26.5,27.4,26.5,85,85,79,23.8,23.9,23.5,1008.8,1009.0,1008.8,4.5,41,9.9,49.60,0.0
A421,02/12/2019,02,25.5,25.6,25.3,86,86,84,22.9,22.9,22.7,1013.0,1013.4,1013.0,0.0,43,1.8,-3.54,0.0
A421,02/12/2019,00,25.7,25.9,25.7,84,84,82,22.7,22.9,22.5,1013.3,1013.3,1012.9,0.0,45,0.0,-3.54,0.0
A421,02/12/2019,23,26.1,26.3,26.0,88,89,87,24.0,24.0,23.8,1009.8,1009.8,1009.3,3.9,35,9.9,-3.54,0.0
A421,02/12/2019,01,25.5,25.8,25.5,85,85,83,22.7,22.7,22.5,1013.4,1013.4,1013.3,0.0,49,0.0,-3.54,0.0
A421,02/12/2019,04,25.0,25.4,24.9,86,86,84,22.5,22.6,22.3,1011.9,1012.3,1011.8,0.0,39,0.0,-3.54,0.0
A421,02/12/2019,03,25.4,25.6,25.3,85,86,84,22.6,22.9,22.5,1012.3,1013.1,1012.3,0.0,42,3.7,-3.54,0.0
A421,02/12/2019,10,26.8,27.2,24.3,76,91,76,22.3,23.1,22.3,1012.9,1012.9,1012.6,0.0,358,0.0,1609.,0.0
