codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_vel,vento_direcao, vento_rajada,radiacao,precipitacao
A005,01/12/2019,21,24.5,25.9,24.1,81,86,77,20.9,22.2,20.7,968.8,968.8,968.1,2.4,172,5.3,118.7,0.0
A005,01/12/2019,00,26.1,26.3,25.7,81,86,80,22.6,23.2,22.5,968.1,968.1,967.5,2.0,170,3.3,-3.60,0.0
A005,01/12/2019,23,23.5,24.0,23.5,89,89,85,21.6,21.6,21.2,969.5,970.2,969.5,0.8,344,2.5,-3.43,0.0
A005,01/12/2019,01,25.5,26.0,25.4,90,90,81,23.6,23.7,22.7,969.2,969.2,968.1,1.7,198,3.3,-3.60,0.0
A005,01/12/2019,03,25.1,25.6,25.1,87,88,85,22.9,23.2,22.8,968.8,969.2,968.7,1.7,193,3.3,-3.60,0.0
A005,01/12/2019,02,25.4,25.8,25.3,88,90,87,23.2,23.7,23.2,969.2,969.2,969.0,1.8,196,3.7,-3.58,0.0
A005,01/12/2019,04,24.4,25.1,24.4,91,91,87,22.9,23.0,22.8,968.4,968.8,968.3,0.0,73,3.5,-3.60,0.0
A005,01/12/2019,05,23.9,24.4,23.9,94,94,91,22.9,22.9,22.7,968.5,968.5,968.2,1.4,223,2.9,-3.60,0.0
A005,01/12/2019,06,24.0,24.3,23.9,92,94,91,22.6,22.9,22.5,968.0,968.5,968.0,1.9,196,3.7,-3.60,0.0
A005,01/12/2019,08,23.4,23.9,23.4,94,94,91,22.4,22.5,22.2,969.1,969.2,968.7,1.3,217,2.7,-3.60,0.0
A005,01/12/2019,07,23.8,24.0,23.7,92,94,92,22.5,22.6,22.5,968.7,968.7,968.0,0.4,176,3.3,-3.60,0.0
A005,01/12/2019,09,23.6,23.8,23.4,91,94,90,22.1,22.4,22.0,969.2,969.2,969.1,0.5,194,3.6,19.72,0.0
A005,01/12/2019,22,23.9,24.5,23.9,85,87,81,21.3,21.8,20.9,970.2,970.3,968.8,1.1,200,4.0,17.03,0.0
A005,01/12/2019,10,25.4,25.4,23.6,84,92,84,22.6,22.8,22.1,970.2,970.2,969.2,0.1,83,2.3,320.4,0.0
A005,01/12/2019,11,27.0,27.0,25.4,77,84,76,22.6,23.0,22.0,970.8,970.8,970.2,0.9,202,2.7,1219.,0.0
A005,01/12/2019,12,29.4,29.5,27.0,66,78,66,22.5,23.2,22.2,971.1,971.1,970.8,0.2,254,3.2,1386.,0.0
A005,01/12/2019,13,30.3,31.2,29.3,66,67,58,23.4,23.4,21.7,971.5,971.5,971.0,1.8,331,3.8,2624.,0.0
A005,01/12/2019,14,29.2,30.4,28.8,74,75,66,24.2,24.2,23.1,971.5,971.8,971.5,3.3,313,7.5,1143.,0.0
A005,01/12/2019,15,31.4,31.7,29.2,62,75,62,23.3,25.1,23.1,970.5,971.5,970.3,3.0,284,8.1,3384.,0.0
A005,01/12/2019,16,31.7,33.2,31.3,62,64,57,23.5,24.3,22.9,969.8,970.5,969.7,2.6,317,6.3,2817.,0.0
A005,01/12/2019,17,31.1,32.8,31.1,63,63,57,23.2,24.2,22.6,969.2,969.8,969.1,3.0,335,6.1,1118.,0.0
A005,01/12/2019,18,26.9,31.1,26.8,79,80,61,23.0,23.4,22.8,970.0,970.2,969.2,3.2,70,8.2,160.3,0.0
A005,01/12/2019,19,25.4,26.9,25.2,81,82,77,21.9,22.8,21.4,968.6,970.0,968.6,2.1,35,8.1,111.6,0.0
A005,01/12/2019,20,25.9,25.9,25.4,80,82,79,22.1,22.3,21.9,968.2,968.6,968.2,1.7,61,4.7,134.2,0.0
A005,02/12/2019,15,31.2,31.8,30.3,59,63,57,22.1,23.0,21.8,969.8,970.5,969.8,1.5,304,4.0,3531.,0.0
A005,02/12/2019,16,33.4,33.4,31.2,55,59,52,23.0,23.0,21.2,969.0,969.8,969.0,0.7,306,4.6,3067.,0.0
A005,02/12/2019,17,32.2,33.4,32.0,55,57,53,22.1,23.1,21.8,968.1,969.0,968.1,0.4,351,4.9,2363.,0.0
A005,02/12/2019,18,31.9,32.8,31.7,60,62,55,23.1,23.7,22.1,967.3,968.1,967.3,2.5,204,4.5,1261.,0.0
A005,02/12/2019,19,31.7,32.7,30.3,55,62,54,21.5,23.8,21.3,966.5,967.3,966.5,0.9,217,4.8,1202.,0.0
A005,02/12/2019,20,32.1,32.5,31.7,53,56,52,21.4,22.0,21.4,966.2,966.5,966.2,0.3,246,2.7,888.5,0.0
A005,02/12/2019,00,23.1,23.6,23.1,92,92,89,21.7,21.8,21.5,970.5,970.5,969.5,0.1,52,3.0,-3.60,0.0
A005,02/12/2019,01,23.3,23.6,23.1,90,92,88,21.6,21.9,21.5,970.7,970.7,970.2,0.9,198,2.1,-3.60,0.0
A005,02/12/2019,21,30.3,32.2,30.3,60,60,51,21.5,22.0,20.6,966.8,966.8,966.2,2.3,229,5.3,238.4,0.0
A005,02/12/2019,08,22.8,23.3,22.8,95,95,93,22.0,22.2,22.0,969.0,969.0,968.5,0.1,279,4.2,-3.60,0.0
A005,02/12/2019,02,23.4,23.4,23.0,90,93,90,21.6,21.8,21.5,970.9,971.0,970.5,0.6,214,2.3,-2.96,0.0
A005,02/12/2019,22,28.6,30.3,28.6,68,68,60,22.2,22.2,21.6,967.2,967.2,966.8,0.2,221,5.2,40.51,0.0
A005,02/12/2019,03,23.4,23.7,23.3,89,90,87,21.5,21.7,21.3,970.6,970.9,970.6,0.7,134,2.4,-3.39,0.0
A005,02/12/2019,04,23.2,23.5,22.9,94,95,89,22.1,22.3,21.5,970.5,970.9,970.5,1.5,211,2.6,-2.75,0.0
A005,02/12/2019,05,23.6,24.1,23.2,91,94,89,22.1,22.2,22.1,969.5,970.6,969.5,2.8,197,6.2,-2.49,0.0
