codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_vel,vento_direcao, vento_rajada,radiacao,precipitacao
A882,01/12/2019,20,26.3,27.8,26.3,51,51,45,15.4,16.1,14.3,1005.2,1005.7,1005.1,4.0,120,7.6,1922.,0.0
A882,01/12/2019,00,26.0,26.5,26.0,77,77,75,21.6,21.9,21.5,1000.8,1000.8,1000.4,0.4,61,2.1,-3.41,0.0
A882,01/12/2019,23,20.7,22.4,20.7,46,49,45,8.6,10.9,8.6,1006.9,1006.9,1006.5,2.3,119,7.6,1.024,0.0
A882,01/12/2019,01,24.7,26.2,24.4,86,87,76,22.2,22.3,21.5,1001.3,1001.3,1000.6,1.4,78,2.8,-3.53,0.0
A882,01/12/2019,02,25.2,25.2,24.0,68,87,68,18.9,22.3,18.9,1002.2,1002.3,1001.3,4.3,231,9.9,-2.89,0.0
A882,01/12/2019,05,22.6,23.8,22.5,73,74,66,17.4,17.6,17.1,1002.0,1002.4,1002.0,1.8,48,3.4,-3.44,0.0
A882,01/12/2019,09,20.6,20.8,20.0,79,86,79,16.8,18.1,16.8,1003.1,1003.1,1002.5,1.4,51,2.4,40.76,0.0
A882,01/12/2019,03,24.5,25.4,23.8,61,68,60,16.5,18.8,16.4,1002.1,1002.5,1002.0,1.1,58,10.6,-3.37,0.0
A882,01/12/2019,06,21.8,23.0,21.8,76,76,69,17.3,17.5,16.9,1002.0,1002.0,1001.8,1.3,65,3.1,-2.42,0.0
A882,01/12/2019,04,23.7,24.5,23.3,67,68,61,17.1,17.4,16.6,1002.4,1002.6,1002.0,1.4,206,2.5,-3.02,0.0
A882,01/12/2019,07,21.6,21.9,20.8,79,82,75,17.7,17.8,17.3,1002.2,1002.3,1002.0,0.9,7,2.6,-3.12,0.0
A882,01/12/2019,08,20.8,22.0,20.6,84,84,74,17.9,17.9,17.1,1002.5,1002.5,1002.2,1.2,101,2.4,-2.52,0.0
A882,01/12/2019,11,23.4,23.9,23.2,70,70,66,17.7,17.9,16.7,1005.6,1005.6,1004.3,3.0,226,5.3,1384.,0.0
A882,01/12/2019,12,24.8,24.9,22.8,63,74,63,17.4,18.9,17.1,1006.4,1006.4,1005.6,2.6,139,5.9,1215.,0.0
A882,01/12/2019,10,23.3,23.4,20.6,68,79,67,17.0,18.3,16.5,1004.3,1004.3,1003.1,1.4,278,2.6,675.7,0.0
A882,01/12/2019,13,25.1,25.9,24.2,49,65,44,13.5,18.0,12.2,1006.9,1007.0,1006.4,4.0,155,8.8,2577.,0.0
A882,01/12/2019,14,26.0,26.2,24.9,45,53,43,13.0,15.4,12.0,1007.0,1007.1,1006.8,3.9,117,8.7,3351.,0.0
A882,01/12/2019,15,26.7,27.2,26.0,40,48,36,12.0,14.8,10.6,1006.9,1007.0,1006.8,4.0,124,8.1,3454.,0.0
A882,01/12/2019,22,22.4,23.7,22.4,48,52,48,10.9,13.0,10.9,1006.5,1006.5,1005.9,3.8,116,8.6,115.7,0.0
A882,01/12/2019,16,27.2,27.8,26.5,45,47,38,14.4,15.2,11.5,1006.6,1007.0,1006.6,3.2,124,7.6,3429.,0.0
A882,01/12/2019,17,27.4,28.0,26.8,46,50,40,14.6,16.1,12.9,1006.1,1006.7,1006.1,3.6,151,8.6,3494.,0.0
A882,01/12/2019,18,27.4,28.0,26.3,47,51,45,15.2,16.6,13.8,1006.0,1006.2,1006.0,3.7,120,8.5,3076.,0.0
