Data,Hora (UTC),Temp. Ins. (C),Temp. Max. (C),Temp. Min. (C),Umi. Ins. (%),Umi. Max. (%),Umi. Min. (%),Pto Orvalho Ins. (C),Pto Orvalho Max. (C),Pto Orvalho Min. (C),Pressao Ins. (hPa),Pressao Max. (hPa),Pressao Min. (hPa),Vel. Vento (m/s),Dir. Vento (m/s),Raj. Vento (m/s),Radiacao (KJ/m²),Chuva (mm),
01/01/2019,0100,26.9,27.1,26.9,77.0,77.0,75.0,22.5,22.5,22.2,1013.6,1013.6,1013.0,1.8,43.0,6.1,,0.0,
01/01/2019,0200,26.6,26.9,26.6,78.0,78.0,77.0,22.4,22.6,22.4,1013.7,1013.8,1013.6,2.0,26.0,5.9,,0.0,
01/01/2019,0300,26.4,26.6,26.4,78.0,78.0,77.0,22.3,22.4,22.2,1013.5,1013.7,1013.5,1.0,19.0,5.9,,0.0,
01/01/2019,0400,26.5,26.5,26.4,77.0,78.0,77.0,22.2,22.4,22.0,1012.8,1013.6,1012.8,2.1,33.0,5.6,,0.0,
01/01/2019,0500,26.5,26.5,26.2,77.0,79.0,77.0,22.0,22.4,22.0,1012.4,1012.8,1012.4,2.1,359.0,4.9,,0.0,
01/01/2019,0600,26.0,26.6,26.0,77.0,77.0,76.0,21.7,22.1,21.7,1012.4,1012.4,1012.3,1.7,329.0,6.4,,0.0,
01/01/2019,0700,25.6,26.0,25.4,80.0,81.0,77.0,21.9,22.2,21.6,1012.8,1012.8,1012.4,0.5,269.0,3.7,,0.0,
01/01/2019,0800,25.9,25.9,25.1,82.0,84.0,80.0,22.5,22.7,21.9,1013.2,1013.2,1012.7,1.0,1.0,4.2,,0.2,
01/01/2019,0900,24.8,25.9,24.8,85.0,85.0,81.0,22.1,22.5,22.0,1013.9,1013.9,1013.2,0.6,284.0,3.8,0.19,0.0,
01/01/2019,1000,24.8,24.9,24.7,85.0,85.0,84.0,22.0,22.2,21.9,1014.4,1014.4,1013.9,0.9,257.0,2.2,81.41,0.0,
01/01/2019,1100,25.2,25.3,24.7,85.0,86.0,85.0,22.5,22.7,22.0,1015.0,1015.0,1014.3,0.9,215.0,2.2,251.70,0.0,
01/01/2019,1200,28.0,28.0,25.2,74.0,85.0,73.0,22.9,22.9,22.1,1015.3,1015.4,1015.0,1.0,26.0,2.9,745.24,0.0,
01/01/2019,1300,29.4,29.4,28.0,70.0,74.0,69.0,23.5,23.5,22.3,1015.5,1015.6,1015.3,2.9,24.0,6.7,2753.98,0.2,
01/01/2019,1400,29.9,29.9,28.8,65.0,70.0,64.0,22.6,23.4,21.6,1015.3,1015.5,1015.3,3.1,35.0,6.7,3327.26,0.0,
