JOACABA (A841),
Data,Hora (UTC),Temp. Ins. (C),Temp. Max. (C),Temp. Min. (C),Umi. Ins. (%),Umi. Max. (%),Umi. Min. (%),Pto Orvalho Ins. (C),Pto Orvalho Max. (C),Pto Orvalho Min. (C),Pressao Ins. (hPa),Pressao Max. (hPa),Pressao Min. (hPa),Vel. Vento (m/s),Dir. Vento (m/s),Raj. Vento (m/s),Radiacao (KJ/m²),Chuva (mm),
01/01/2019,0100,22.0,22.4,22.0,89.0,89.0,86.0,20.0,20.1,19.9,925.7,925.7,925.4,2.1,333.0,4.3,,0.0,
01/01/2019,0200,21.3,22.0,21.3,92.0,92.0,89.0,20.0,20.1,19.9,925.7,925.8,925.5,1.4,276.0,4.1,,0.0,
01/01/2019,0300,21.3,21.3,21.0,93.0,94.0,92.0,20.1,20.1,19.9,925.6,925.8,925.5,1.1,279.0,2.4,,0.0,
01/01/2019,0400,21.4,21.4,21.1,90.0,93.0,90.0,19.7,20.1,19.7,925.4,925.7,925.3,3.0,305.0,5.6,,0.0,
01/01/2019,0500,21.3,21.6,21.2,87.0,90.0,87.0,19.1,19.7,19.1,925.8,925.8,925.4,2.6,289.0,5.3,,0.0,
01/01/2019,0600,21.4,21.6,21.2,78.0,87.0,78.0,17.4,19.0,17.4,926.0,926.0,925.8,6.2,306.0,10.1,,0.0,
01/01/2019,0700,20.6,21.4,20.6,81.0,81.0,78.0,17.2,17.4,17.2,926.5,926.5,925.9,4.2,295.0,10.1,,0.0,
01/01/2019,0800,19.7,20.6,19.7,84.0,84.0,81.0,17.0,17.3,17.0,927.0,927.0,926.5,3.3,309.0,7.4,,0.0,
01/01/2019,0900,20.1,20.1,19.6,83.0,85.0,83.0,17.1,17.1,16.9,927.6,927.6,927.0,4.1,299.0,6.6,149.90,0.0,
01/01/2019,1000,21.4,21.4,20.1,78.0,83.0,77.0,17.3,17.4,16.9,928.2,928.3,927.5,3.4,299.0,7.1,859.52,0.0,
01/01/2019,1100,22.5,22.7,21.4,73.0,78.0,72.0,17.4,17.7,17.0,928.3,928.5,928.2,4.9,289.0,7.9,1600.72,0.0,
01/01/2019,1200,24.0,24.2,22.5,69.0,74.0,68.0,18.1,18.7,17.3,928.5,928.5,928.3,3.8,292.0,8.6,2221.44,0.0,
01/01/2019,1300,26.0,26.0,23.6,67.0,71.0,64.0,19.3,19.4,17.8,928.3,928.6,928.3,4.5,284.0,7.5,2807.45,0.0,
01/01/2019,1400,27.4,27.7,25.8,60.0,68.0,60.0,19.1,20.4,18.6,928.0,928.3,928.0,3.3,266.0,7.2,3549.63,0.0,
01/01/2019,1500,28.4,28.7,27.2,60.0,63.0,57.0,19.9,20.2,18.8,927.7,928.1,927.7,3.0,256.0,6.2,3775.43,0.0,
01/01/2019,1600,29.4,29.9,28.3,58.0,60.0,54.0,20.2,20.7,18.8,927.2,927.8,927.2,2.6,251.0,6.4,3807.54,0.0,
01/01/2019,1700,30.7,30.7,29.2,57.0,59.0,51.0,21.2,21.3,18.9,926.5,927.2,926.5,1.5,214.0,5.8,3650.63,0.0,
01/01/2019,1800,29.7,31.4,29.5,53.0,57.0,49.0,18.9,20.8,18.5,925.7,926.5,925.7,1.8,268.0,4.3,2970.61,0.0,
01/01/2019,1900,30.7,31.5,29.7,51.0,54.0,48.0,19.3,20.5,18.5,924.9,925.7,924.9,1.6,221.0,4.0,2374.19,0.0,
01/01/2019,2000,30.8,30.9,30.3,51.0,52.0,48.0,19.6,19.6,18.4,924.4,924.9,924.4,1.5,206.0,4.6,1629.97,0.0,
01/01/2019,2100,29.7,30.9,29.7,53.0,53.0,49.0,19.0,19.7,18.5,924.6,924.6,924.3,1.2,204.0,3.7,907.19,0.0,
