Data,Hora (UTC),Temp. Ins. (C),Temp. Max. (C),Temp. Min. (C),Umi. Ins. (%),Umi. Max. (%),Umi. Min. (%),Pto Orvalho Ins. (C),Pto Orvalho Max. (C),Pto Orvalho Min. (C),Pressao Ins. (hPa),Pressao Max. (hPa),Pressao Min. (hPa),Vel. Vento (m/s),Dir. Vento (m/s),Raj. Vento (m/s),Radiacao (KJ/m²),Chuva (mm),
01/01/2019,01,24.0,24.5,24.0,86.0,86.0,83.0,21.5,21.5,21.2,937.1,937.4,937.1,2.0,19.0,3.9,,0.0,
01/01/2019,02,24.2,24.8,23.9,84.0,87.0,79.0,21.4,21.7,20.9,937.0,937.1,936.7,1.8,348.0,5.5,,0.0,
01/01/2019,03,22.6,24.2,22.6,95.0,95.0,84.0,21.8,21.8,21.4,936.8,937.2,936.8,1.5,55.0,3.2,,0.0,
01/01/2019,04,21.9,22.7,21.8,96.0,97.0,95.0,21.3,21.8,21.2,936.6,936.8,936.6,2.1,24.0,3.2,,0.0,
01/01/2019,05,22.2,22.4,21.9,95.0,96.0,93.0,21.3,21.3,21.1,936.7,936.7,936.6,2.2,28.0,3.2,,0.0,
01/01/2019,06,21.8,22.2,21.7,96.0,97.0,95.0,21.1,21.3,21.1,936.8,936.8,936.6,2.0,10.0,3.4,,0.0,
01/01/2019,07,21.8,22.1,21.6,97.0,97.0,95.0,21.3,21.3,21.0,937.2,937.3,936.8,1.9,10.0,3.6,,0.0,
01/01/2019,08,21.6,22.8,21.6,97.0,97.0,87.0,21.1,21.3,20.4,938.0,938.0,937.2,2.9,22.0,5.0,,0.0,
01/01/2019,09,23.2,23.3,21.4,84.0,98.0,83.0,20.4,21.1,20.3,938.7,938.7,938.0,3.0,351.0,6.1,140.12,0.0,
01/01/2019,10,24.7,24.8,23.1,80.0,85.0,79.0,21.0,21.6,20.3,939.6,939.6,938.7,2.5,3.0,6.1,882.26,0.0,
01/01/2019,11,26.1,26.2,24.7,75.0,81.0,74.0,21.2,21.6,20.6,939.8,939.8,939.6,2.8,6.0,6.2,1725.56,0.0,
01/01/2019,12,27.3,27.5,25.9,70.0,77.0,69.0,21.3,22.2,20.8,939.8,939.9,939.7,2.7,341.0,7.4,2559.26,0.0,
01/01/2019,13,29.1,29.5,27.3,65.0,73.0,62.0,21.9,22.5,21.0,939.7,939.9,939.7,2.9,317.0,6.0,3266.91,0.0,
01/01/2019,14,29.7,30.1,28.9,61.0,66.0,57.0,21.4,22.4,20.6,939.8,939.8,939.6,2.5,270.0,7.8,2433.24,0.0,
01/01/2019,15,30.4,30.8,29.4,57.0,63.0,55.0,20.7,22.2,20.7,939.4,939.8,939.4,2.2,274.0,6.0,1589.39,0.0,
01/01/2019,16,30.1,31.3,29.8,60.0,61.0,55.0,21.5,22.1,20.6,938.9,939.4,938.9,2.0,265.0,5.5,1590.36,0.0,
01/01/2019,17,30.2,31.8,30.0,62.0,62.0,55.0,22.2,23.0,21.0,938.2,938.9,938.2,1.9,360.0,4.4,1625.40,0.0,
01/01/2019,18,31.7,32.0,30.1,54.0,64.0,52.0,21.3,22.8,20.8,937.2,938.2,937.2,2.3,7.0,4.4,2378.19,0.0,
01/01/2019,19,31.6,32.3,31.4,55.0,57.0,51.0,21.4,21.8,20.6,936.5,937.2,936.5,2.7,25.0,7.7,2370.15,0.0,
01/01/2019,20,31.0,31.7,30.8,56.0,57.0,53.0,21.3,21.9,20.7,936.3,936.5,936.2,1.2,24.0,4.6,1325.02,0.0,
01/01/2019,21,29.9,31.0,29.9,60.0,60.0,56.0,21.3,21.6,21.0,936.8,936.8,936.3,0.1,360.0,2.9,157.34,0.0,
01/01/2019,22,29.3,29.9,29.3,60.0,61.0,60.0,20.8,21.3,20.7,937.3,937.3,936.8,0.7,2.0,1.1,22.18,0.0,
01/01/2019,23,28.7,29.5,28.5,62.0,65.0,59.0,20.8,21.5,20.6,937.8,937.8,937.3,0.3,351.0,1.4,,0.0,
02/01/2019,00,28.4,29.1,28.2,65.0,66.0,61.0,21.0,21.5,20.8,938.8,938.8,937.8,1.1,307.0,1.7,,0.0,
02/01/2019,01,26.6,29.0,26.6,73.0,73.0,61.0,21.4,21.4,20.7,939.2,939.3,938.8,0.6,132.0,1.9,,0.0,
02/01/2019,02,26.6,27.3,26.6,73.0,73.0,69.0,21.4,21.4,21.2,939.0,939.4,939.0,0.6,19.0,1.3,,0.0,
02/01/2019,03,26.6,26.9,26.4,74.0,74.0,72.0,21.5,21.5,21.3,938.7,939.1,938.7,1.1,292.0,1.5,,0.0,
02/01/2019,04,27.2,27.2,26.3,68.0,76.0,68.0,20.7,21.6,20.7,937.7,938.7,937.7,2.4,312.0,3.8,,0.0,
02/01/2019,05,26.3,27.2,26.3,71.0,71.0,67.0,20.7,20.7,20.6,937.2,937.7,937.2,2.3,336.0,3.8,,0.0,
02/01/2019,06,26.6,26.6,25.9,70.0,73.0,69.0,20.6,20.8,20.6,937.4,937.4,937.2,3.0,309.0,6.0,,0.0,
02/01/2019,07,25.7,26.6,25.7,73.0,74.0,70.0,20.6,20.7,20.6,938.0,938.0,937.4,2.1,269.0,5.3,,0.0,
02/01/2019,08,25.5,25.9,25.4,74.0,75.0,72.0,20.6,20.6,20.5,938.4,938.4,938.0,2.6,281.0,4.9,,0.0,
02/01/2019,09,25.9,25.9,25.5,75.0,76.0,74.0,21.1,21.1,20.6,939.1,939.1,938.4,2.3,306.0,4.8,76.25,0.0,
02/01/2019,10,27.1,27.3,25.9,74.0,77.0,71.0,22.1,22.2,21.0,939.8,939.8,939.1,1.5,344.0,3.8,827.33,0.0,
02/01/2019,11,27.7,27.8,26.9,73.0,76.0,72.0,22.5,22.8,21.8,940.0,940.1,939.8,2.1,360.0,4.9,1737.16,0.0,
02/01/2019,12,29.0,29.0,27.7,70.0,75.0,67.0,23.0,23.4,22.2,940.1,940.2,939.9,2.3,340.0,5.6,2540.43,0.0,
02/01/2019,13,30.4,30.4,29.0,61.0,71.0,61.0,22.1,23.4,21.5,939.5,940.1,939.5,3.9,313.0,8.1,2770.38,0.0,
02/01/2019,14,31.0,31.2,29.5,55.0,63.0,53.0,20.8,22.0,20.3,938.9,939.5,938.9,5.4,283.0,9.2,3207.68,0.0,
02/01/2019,15,31.0,31.6,30.7,56.0,57.0,52.0,21.2,21.8,20.3,938.5,939.0,938.5,3.7,285.0,9.7,3722.82,0.0,
02/01/2019,16,31.2,31.8,30.8,55.0,58.0,51.0,21.0,21.8,20.3,938.3,938.5,938.2,3.6,290.0,9.2,2364.29,0.0,
02/01/2019,17,31.7,32.5,30.5,51.0,58.0,47.0,20.3,22.3,19.5,937.3,938.3,937.3,4.1,285.0,8.6,2423.33,0.0,
02/01/2019,18,31.3,33.1,31.3,54.0,56.0,45.0,21.0,21.5,19.2,936.9,937.4,936.7,4.5,231.0,7.8,2713.15,0.0,
02/01/2019,19,30.3,31.9,30.3,62.0,62.0,51.0,22.1,22.1,20.2,936.1,936.9,936.1,4.1,231.0,8.9,1881.55,0.0,
02/01/2019,20,29.3,31.3,29.3,62.0,62.0,51.0,21.1,22.3,20.0,935.3,936.1,935.3,6.8,251.0,11.2,1696.29,0.0,
02/01/2019,21,28.7,29.6,28.7,64.0,66.0,62.0,21.3,22.3,21.2,935.5,935.6,935.2,3.2,235.0,10.5,912.34,0.0,
02/01/2019,22,27.0,28.7,27.0,66.0,66.0,63.0,20.1,21.3,19.8,935.8,935.8,935.5,2.6,240.0,8.0,77.81,0.0,
02/01/2019,23,26.6,27.1,26.6,72.0,72.0,66.0,21.1,21.1,20.1,936.5,936.5,935.8,3.7,266.0,8.4,,0.0,
03/01/2019,00,26.0,26.6,25.9,74.0,74.0,72.0,20.9,21.1,20.9,937.3,937.3,936.5,2.4,288.0,7.4,,0.0,
03/01/2019,01,25.5,26.3,25.4,76.0,76.0,71.0,21.0,21.0,20.6,937.9,937.9,937.2,1.6,335.0,4.4,,0.0,
03/01/2019,02,25.4,25.5,25.1,80.0,80.0,76.0,21.8,21.8,21.1,938.0,938.1,937.8,2.0,315.0,3.4,,0.0,
03/01/2019,03,25.3,25.8,25.3,80.0,80.0,77.0,21.5,21.8,21.4,936.9,938.0,936.9,2.5,302.0,6.0,,0.0,
03/01/2019,04,25.1,25.4,25.1,79.0,80.0,78.0,21.2,21.5,21.2,936.4,937.0,936.4,2.4,292.0,6.2,,0.0,
03/01/2019,05,25.4,25.6,25.1,77.0,79.0,75.0,21.1,21.2,20.9,935.6,936.4,935.6,5.2,268.0,9.3,,0.0,
03/01/2019,06,25.2,25.5,25.2,78.0,78.0,77.0,21.2,21.2,21.1,935.1,935.6,935.1,5.9,267.0,10.7,,0.0,
03/01/2019,07,24.7,25.2,24.7,81.0,81.0,78.0,21.3,21.3,21.1,935.5,935.6,935.1,5.1,261.0,11.2,,0.0,
03/01/2019,08,24.3,24.7,24.3,82.0,83.0,81.0,21.1,21.3,21.1,936.0,936.0,935.5,4.5,262.0,9.6,,0.0,
03/01/2019,09,24.5,24.5,24.2,82.0,83.0,82.0,21.2,21.2,21.1,936.5,936.6,936.0,5.1,250.0,10.8,122.44,0.0,
03/01/2019,10,25.7,25.8,24.5,78.0,82.0,77.0,21.5,21.7,21.2,937.1,937.1,936.5,5.4,253.0,9.6,680.60,0.0,
03/01/2019,11,26.8,27.0,25.6,72.0,78.0,72.0,21.2,21.8,21.2,937.2,937.3,937.1,8.3,243.0,13.7,1976.08,0.0,
03/01/2019,12,27.6,27.8,26.7,69.0,73.0,68.0,21.4,21.7,21.2,937.5,937.6,937.2,6.4,236.0,14.5,1924.02,0.0,
03/01/2019,13,27.8,28.4,27.5,68.0,70.0,65.0,21.3,22.1,21.0,937.8,937.9,937.5,5.9,233.0,12.0,2086.10,0.0,
03/01/2019,14,30.1,30.1,27.7,61.0,68.0,59.0,21.7,21.7,20.7,937.1,937.8,937.1,6.1,250.0,11.5,3271.96,0.0,
03/01/2019,15,30.0,30.5,29.3,61.0,63.0,58.0,21.5,21.8,20.9,936.2,937.1,936.2,6.5,254.0,13.2,2830.09,0.0,
03/01/2019,16,30.6,31.3,29.9,58.0,61.0,55.0,21.4,21.9,20.9,935.6,936.2,935.6,6.0,249.0,11.5,3034.20,0.0,
03/01/2019,17,31.1,31.3,30.1,56.0,61.0,55.0,21.4,22.0,20.9,934.9,935.7,934.8,6.0,242.0,12.8,3300.86,0.0,
03/01/2019,18,23.2,31.5,23.2,93.0,93.0,56.0,22.1,22.8,21.3,934.7,934.9,934.3,8.7,231.0,15.2,1463.79,4.6,
03/01/2019,19,26.8,26.8,23.2,83.0,94.0,82.0,23.7,23.9,22.0,935.0,935.0,934.5,3.3,208.0,15.2,931.59,0.2,
03/01/2019,20,22.9,26.9,22.9,91.0,91.0,77.0,21.3,23.8,20.9,935.6,935.7,934.7,8.2,176.0,14.5,217.10,0.0,
03/01/2019,21,22.3,22.9,22.3,96.0,97.0,91.0,21.7,21.9,21.3,936.4,936.5,935.4,2.3,160.0,14.0,67.93,0.4,
03/01/2019,22,22.2,22.4,22.2,98.0,98.0,96.0,21.8,22.0,21.7,936.7,936.7,936.2,2.1,356.0,3.7,1.43,0.6,
03/01/2019,23,22.0,22.2,22.0,98.0,98.0,98.0,21.7,21.8,21.7,937.2,937.2,936.6,2.5,354.0,5.7,,0.2,
04/01/2019,00,22.4,22.4,21.9,96.0,98.0,96.0,21.8,21.9,21.6,937.4,937.5,937.0,3.3,312.0,6.3,,0.0,
04/01/2019,01,23.4,23.4,22.4,88.0,96.0,88.0,21.3,21.8,21.3,936.9,937.4,936.8,3.1,296.0,5.5,,0.0,
04/01/2019,02,24.5,24.6,23.3,79.0,89.0,79.0,20.7,21.3,20.7,936.5,937.0,936.5,4.4,268.0,6.8,,0.0,
04/01/2019,03,24.5,24.9,24.5,78.0,79.0,76.0,20.4,20.7,20.3,936.3,936.6,936.3,4.5,248.0,7.0,,0.0,
04/01/2019,04,22.6,24.5,22.6,91.0,91.0,78.0,21.1,21.1,20.3,936.6,936.6,936.1,4.2,158.0,6.8,,0.0,
04/01/2019,05,21.8,22.6,21.8,98.0,98.0,91.0,21.5,21.7,21.2,936.6,936.8,936.5,3.9,179.0,6.5,,0.0,
04/01/2019,06,21.7,21.8,21.6,98.0,98.0,98.0,21.5,21.5,21.4,937.2,937.2,936.6,2.4,191.0,5.6,,0.0,
04/01/2019,07,21.8,21.8,21.7,98.0,98.0,98.0,21.5,21.5,21.4,937.6,937.6,937.1,1.7,198.0,3.4,,0.0,
04/01/2019,08,21.7,21.8,21.6,98.0,98.0,98.0,21.4,21.5,21.3,938.2,938.2,937.6,1.0,205.0,2.8,,0.0,
04/01/2019,09,22.0,22.0,21.7,96.0,98.0,96.0,21.3,21.4,21.2,938.5,938.7,938.2,1.0,237.0,1.8,78.94,0.0,
04/01/2019,10,22.8,22.8,22.0,93.0,96.0,92.0,21.5,21.6,21.0,938.6,938.6,938.4,1.1,243.0,2.3,402.49,0.0,
04/01/2019,11,24.4,24.7,22.8,84.0,93.0,83.0,21.4,22.0,21.4,938.8,939.0,938.6,1.3,308.0,3.0,1408.25,0.0,
04/01/2019,12,25.8,26.2,24.4,81.0,87.0,79.0,22.2,22.9,21.7,939.4,939.4,938.8,1.0,192.0,2.8,1421.52,0.0,
04/01/2019,13,27.1,27.1,25.4,81.0,86.0,78.0,23.5,23.7,22.2,939.4,939.6,939.4,0.9,64.0,3.0,2004.87,0.0,
04/01/2019,14,28.4,28.7,26.4,72.0,82.0,70.0,23.0,23.5,22.6,938.6,939.4,938.6,2.7,200.0,6.3,2574.63,0.0,
04/01/2019,15,26.3,28.6,26.3,84.0,84.0,70.0,23.4,23.5,22.4,937.5,938.6,937.5,2.5,131.0,6.7,1930.17,0.0,
04/01/2019,16,26.6,27.0,24.8,85.0,95.0,83.0,23.8,24.7,23.3,937.3,937.6,937.1,1.3,183.0,5.3,1973.41,0.8,
04/01/2019,17,24.6,26.8,24.6,92.0,93.0,83.0,23.2,24.2,23.0,937.6,938.0,937.2,2.4,41.0,4.8,719.51,0.0,
04/01/2019,18,21.0,24.6,21.0,98.0,98.0,92.0,20.7,23.4,20.4,938.1,938.3,937.2,4.3,208.0,12.4,107.61,13.8,
04/01/2019,19,21.7,21.7,21.0,99.0,99.0,98.0,21.4,21.4,20.7,937.7,938.4,937.7,0.4,89.0,9.4,23.22,4.0,
04/01/2019,20,21.4,21.7,21.3,99.0,99.0,99.0,21.1,21.4,21.1,936.9,937.7,936.5,2.6,13.0,4.2,127.14,0.4,
04/01/2019,21,21.1,21.4,21.1,99.0,99.0,99.0,20.9,21.1,20.9,937.5,937.6,936.9,2.8,21.0,5.4,157.47,0.2,
04/01/2019,22,21.5,21.6,21.1,98.0,99.0,98.0,21.2,21.3,20.9,938.0,938.0,937.4,1.4,186.0,5.4,75.95,0.0,
04/01/2019,23,21.2,21.5,21.2,99.0,99.0,98.0,21.0,21.3,20.9,937.8,938.1,937.5,1.4,26.0,3.2,,0.0,
05/01/2019,00,21.0,21.3,21.0,99.0,99.0,99.0,20.8,21.0,20.8,938.3,938.3,937.8,1.0,29.0,2.4,,0.0,
05/01/2019,01,20.9,21.2,20.9,99.0,99.0,99.0,20.7,20.9,20.7,938.5,938.5,938.3,0.5,357.0,2.4,,0.0,
05/01/2019,02,20.8,21.0,20.8,99.0,99.0,99.0,20.6,20.8,20.6,938.2,938.5,938.2,0.8,14.0,3.0,,0.0,
05/01/2019,03,20.5,20.8,20.5,99.0,99.0,99.0,20.3,20.6,20.3,937.8,938.2,937.8,0.9,21.0,3.6,,0.0,
