Data,Hora (UTC),Temp. Ins. (C),Temp. Max. (C),Temp. Min. (C),Umi. Ins. (%),Umi. Max. (%),Umi. Min. (%),Pto Orvalho Ins. (C),Pto Orvalho Max. (C),Pto Orvalho Min. (C),Pressao Ins. (hPa),Pressao Max. (hPa),Pressao Min. (hPa),Vel. Vento (m/s),Dir. Vento (m/s),Raj. Vento (m/s),Radiacao (KJ/m²),Chuva (mm),
01/01/2019,0100,23.5,23.5,21.3,77.0,96.0,77.0,19.2,20.6,19.2,913.7,913.7,912.8,3.1,73.0,5.0,,0.0,
01/01/2019,0200,22.3,23.5,22.0,89.0,89.0,77.0,20.4,20.4,19.2,913.9,914.0,913.7,2.8,99.0,4.9,,0.0,
01/01/2019,0300,22.0,22.6,21.5,91.0,94.0,87.0,20.5,20.5,20.2,913.7,914.1,913.7,1.3,41.0,5.4,,0.0,
01/01/2019,0400,22.3,22.9,22.0,86.0,91.0,85.0,19.9,20.6,19.9,913.3,913.7,913.3,3.3,67.0,6.9,,0.0,
01/01/2019,0500,22.0,22.5,22.0,85.0,87.0,84.0,19.4,19.8,19.4,913.3,913.3,913.1,3.3,100.0,6.6,,0.0,
01/01/2019,0600,21.6,22.2,21.6,73.0,85.0,73.0,16.7,19.4,16.6,913.4,913.4,913.1,3.0,92.0,7.1,,0.0,
01/01/2019,0700,21.1,21.7,21.1,73.0,74.0,68.0,16.1,16.7,15.3,913.7,913.7,913.3,3.4,105.0,7.0,,0.0,
01/01/2019,0800,20.1,21.0,20.1,79.0,79.0,73.0,16.4,16.4,15.8,913.8,913.9,913.6,4.0,104.0,7.5,,0.0,
01/01/2019,0900,19.4,20.1,19.2,84.0,85.0,79.0,16.7,16.7,16.4,914.7,914.7,913.8,3.1,105.0,6.8,10.23,0.0,
01/01/2019,1000,21.4,21.4,19.3,77.0,86.0,77.0,17.3,17.8,16.7,915.6,915.6,914.7,2.5,95.0,5.7,492.31,0.0,
01/01/2019,1100,22.7,22.7,21.4,75.0,80.0,74.0,18.1,18.7,17.3,916.2,916.3,915.6,0.7,38.0,5.7,1241.07,0.0,
01/01/2019,1200,25.2,25.2,22.7,71.0,75.0,67.0,19.6,19.6,17.5,916.4,916.5,916.2,1.5,14.0,5.3,2124.53,0.0,
