codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_vel,vento_direcao, vento_rajada,radiacao,precipitacao
A334,01/05/2020,00,22.4,23.2,22.3,89,89,87,20.4,20.9,20.3,948.6,948.6,948.1,2.7,147,4.3,-1.70,0.0
A334,01/05/2020,01,22.0,22.5,21.9,91,91,89,20.4,20.6,20.3,948.5,948.7,948.5,3.0,108,4.8,-0.10,0.4
A334,01/05/2020,02,21.8,22.1,21.8,91,91,91,20.3,20.5,20.2,948.4,948.5,948.4,1.4,117,4.5,-1.10,0.2
A334,01/05/2020,03,21.9,22.0,21.8,91,91,91,20.4,20.5,20.2,948.0,948.5,948.0,0.7,128,2.3,-1.23,0.0
A334,01/05/2020,04,21.9,22.0,21.7,91,91,91,20.4,20.5,20.2,947.2,948.0,947.2,1.7,145,2.8,-1.11,0.2
A334,01/05/2020,05,22.0,22.0,21.9,91,91,91,20.5,20.5,20.4,946.4,947.2,946.3,0.0,170,2.8,-1.29,0.0
A334,01/05/2020,06,22.0,22.2,21.9,91,91,91,20.6,20.7,20.5,946.7,946.7,946.4,0.6,148,3.0,-1.36,0.0
A334,01/05/2020,07,22.0,22.1,21.9,91,92,91,20.5,20.7,20.4,946.9,946.9,946.7,0.0,142,2.7,-1.16,0.0
A334,01/05/2020,08,21.8,22.0,21.8,91,91,91,20.3,20.5,20.3,947.0,947.0,946.9,0.2,96,1.8,-2.79,0.0
A334,01/05/2020,09,22.1,22.1,21.6,91,92,91,20.6,20.7,20.1,947.7,947.7,947.0,0.0,121,1.5,91.20,0.0
A334,01/05/2020,10,23.9,24.2,22.1,88,92,88,21.9,22.5,20.6,948.6,948.6,947.7,0.2,77,1.6,796.7,0.0
A334,01/05/2020,11,25.2,25.2,23.8,78,89,78,21.2,22.6,21.1,949.3,949.3,948.6,2.8,80,4.2,1409.,0.0
A334,01/05/2020,12,25.6,25.8,24.5,69,79,69,19.5,21.1,19.5,949.6,949.6,949.3,4.4,84,6.8,2448.,0.0
A334,01/05/2020,13,26.6,26.9,25.5,65,71,64,19.5,20.4,19.2,949.4,949.6,949.4,4.3,91,6.5,2761.,0.0
A334,01/05/2020,14,27.8,27.8,26.3,60,67,60,19.4,20.9,19.1,948.7,949.4,948.7,4.1,76,6.9,3507.,0.0
A334,01/05/2020,15,28.6,28.7,27.5,58,62,55,19.4,20.2,18.4,947.8,948.7,947.8,3.8,76,6.7,3534.,0.0
A334,01/05/2020,16,28.1,29.3,27.1,60,67,53,19.7,21.0,18.3,947.2,947.7,947.2,4.9,71,8.4,2808.,0.0
A334,01/05/2020,17,28.3,28.5,27.3,59,63,56,19.5,20.3,18.6,946.5,947.2,946.5,4.3,82,7.4,2102.,0.0
A334,01/05/2020,18,27.7,28.3,26.9,62,65,59,19.6,20.3,18.8,946.5,946.6,946.4,4.3,82,8.9,2131.,0.0
A334,01/05/2020,19,27.6,28.0,27.4,64,66,62,20.2,20.6,19.7,946.6,946.6,946.4,2.7,86,6.1,1175.,0.0
A334,01/05/2020,20,26.2,27.6,26.2,62,65,58,18.2,20.3,18.0,946.8,946.9,946.6,2.0,70,5.0,332.0,0.0
A334,01/05/2020,21,24.9,26.2,24.9,71,71,62,19.2,19.2,18.3,947.1,947.1,946.8,1.9,64,3.1,0.437,0.0
A334,01/05/2020,22,23.9,24.9,23.8,78,78,71,19.8,19.8,19.1,947.8,947.8,947.1,0.0,94,2.9,-3.54,0.0
A334,01/05/2020,23,23.1,23.9,23.1,81,81,78,19.6,19.9,19.5,948.4,948.4,947.8,0.0,124,1.8,-3.54,0.0
A334,02/05/2020,00,22.6,23.1,22.5,84,84,81,19.8,19.9,19.5,948.6,948.7,948.4,0.0,119,0.0,-3.54,0.0
A334,02/05/2020,01,22.1,22.7,22.1,85,85,84,19.5,19.9,19.4,948.8,948.8,948.7,0.0,133,1.2,-3.48,0.0
A334,02/05/2020,02,21.6,22.4,21.6,86,86,85,19.2,19.7,19.0,948.4,948.8,948.4,0.0,86,0.0,-3.54,0.0
A334,02/05/2020,03,21.4,21.6,21.2,86,87,86,19.0,19.2,18.8,947.8,948.4,947.8,0.0,275,0.0,-3.54,0.0
A334,02/05/2020,04,21.0,21.4,20.9,88,88,86,18.8,19.1,18.7,947.2,947.8,947.2,0.0,58,1.2,-3.54,0.0
A334,02/05/2020,05,20.4,21.0,20.4,88,88,87,18.4,18.8,18.3,947.3,947.3,947.1,0.0,180,1.4,-3.54,0.0
A334,02/05/2020,06,20.9,21.0,20.4,89,89,88,19.0,19.1,18.3,947.1,947.4,947.0,1.2,57,2.6,-3.30,0.0
A334,02/05/2020,07,20.7,20.9,20.7,89,89,89,18.8,19.0,18.8,946.7,947.1,946.6,0.0,66,2.6,-3.54,0.0
A334,02/05/2020,08,20.4,20.7,20.3,90,90,89,18.7,18.9,18.6,947.0,947.0,946.6,0.3,64,1.6,-3.11,0.0
A334,02/05/2020,09,20.4,20.5,20.2,91,91,90,18.9,18.9,18.7,947.5,947.5,947.0,1.0,44,2.5,65.94,0.0
A334,02/05/2020,10,21.7,21.8,20.2,91,91,90,20.1,20.3,18.7,948.1,948.1,947.5,1.8,59,2.9,545.0,0.0
A334,02/05/2020,11,23.6,23.8,21.3,83,91,83,20.6,21.1,19.6,948.5,948.5,948.1,2.2,94,5.6,1506.,0.0
A334,02/05/2020,12,25.0,25.6,23.4,70,83,69,19.2,20.8,19.2,948.7,948.7,948.4,3.3,132,5.6,2530.,0.0
A334,02/05/2020,13,26.5,26.5,24.6,64,72,63,19.3,19.8,18.4,948.3,948.7,948.3,2.5,136,5.7,3052.,0.0
A334,02/05/2020,14,27.0,27.3,26.0,61,65,60,18.7,19.4,18.0,947.4,948.4,947.4,1.7,119,4.9,3085.,0.0
A334,02/05/2020,15,27.9,28.0,26.9,57,62,54,18.5,19.3,17.7,946.5,947.4,946.5,1.1,116,4.9,2599.,0.0
A334,02/05/2020,16,29.3,29.5,27.3,49,57,48,17.4,18.7,16.6,945.6,946.5,945.6,0.8,160,4.1,2767.,0.0
A334,02/05/2020,17,28.2,29.6,28.0,57,57,48,18.8,18.8,17.1,944.9,945.6,944.9,1.0,98,3.5,1823.,0.0
A334,02/05/2020,18,29.5,30.5,28.3,47,58,46,17.0,19.5,16.8,944.8,944.9,944.8,0.8,12,4.0,2243.,0.0
A334,02/05/2020,19,29.1,30.3,28.9,49,50,45,17.4,18.0,16.5,945.0,945.0,944.8,0.6,108,3.6,1272.,0.0
A334,02/05/2020,20,27.5,29.1,27.5,55,55,49,17.5,18.1,17.0,945.3,945.3,945.0,0.0,168,2.3,305.0,0.0
A334,02/05/2020,21,26.3,27.5,25.8,68,71,55,19.8,20.2,17.5,945.7,945.7,945.3,0.0,330,0.5,-0.70,0.0
A334,02/05/2020,22,25.5,26.3,25.4,71,76,68,20.0,20.8,19.7,946.6,946.6,945.7,2.1,105,4.1,-3.53,0.0
A334,02/05/2020,23,23.1,25.5,23.1,83,83,71,20.1,20.2,19.8,947.2,947.2,946.6,2.7,110,6.1,-3.53,0.0
A334,03/05/2020,00,23.3,23.3,23.1,83,84,83,20.3,20.4,20.1,947.3,947.3,947.2,0.1,228,4.1,-3.53,0.0
A334,03/05/2020,01,23.2,23.2,22.9,82,83,82,20.0,20.2,19.8,947.2,947.4,947.2,0.2,29,1.8,-3.47,0.0
A334,03/05/2020,02,23.0,23.3,22.9,85,85,82,20.3,20.3,20.0,947.1,947.3,947.1,0.0,2,1.6,-2.87,0.0
A334,03/05/2020,03,22.5,23.1,22.5,85,85,84,19.9,20.4,19.8,946.4,947.1,946.4,1.6,67,2.5,-3.42,0.0
A334,03/05/2020,04,21.8,22.4,21.8,86,86,85,19.4,19.9,19.4,945.8,946.4,945.8,2.3,72,3.6,-3.54,0.0
A334,03/05/2020,05,21.6,21.8,21.5,88,88,86,19.4,19.4,19.2,945.7,945.9,945.7,1.8,46,3.6,-3.44,0.0
A334,03/05/2020,06,21.1,21.6,21.1,88,88,87,19.1,19.4,19.1,945.6,945.7,945.5,0.7,35,3.3,-3.42,0.0
A334,03/05/2020,07,20.8,21.1,20.8,89,89,88,18.9,19.1,18.9,945.5,945.6,945.4,0.8,62,2.4,-3.54,0.0
A334,03/05/2020,08,20.2,20.8,20.2,90,90,89,18.6,18.9,18.5,946.0,946.0,945.5,1.0,64,2.8,-3.48,0.0
A334,03/05/2020,09,20.3,20.4,20.2,91,91,90,18.8,18.9,18.6,946.3,946.3,946.0,2.2,88,3.7,37.62,0.0
