codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_vel,vento_direcao, vento_rajada,radiacao,precipitacao
A506,01/05/2020,00,19.6,22.0,19.6,67,67,59,13.3,13.8,13.3,945.0,945.0,944.4,0.0,244,2.2,-3.54,0.0
A506,01/05/2020,01,19.2,19.6,18.8,69,72,67,13.5,13.7,13.3,945.3,945.3,945.0,0.1,237,1.1,-3.54,0.0
A506,01/05/2020,02,18.0,19.9,17.5,75,77,66,13.4,13.6,13.2,945.1,945.3,945.0,1.1,360,2.9,-3.54,0.0
A506,01/05/2020,03,17.7,18.0,17.5,75,76,74,13.3,13.4,13.0,944.9,945.2,944.9,0.8,259,1.7,-3.54,0.0
A506,01/05/2020,04,16.6,17.8,16.6,78,78,74,12.7,13.3,12.7,944.4,944.9,944.4,0.5,347,1.9,-3.54,0.0
A506,01/05/2020,05,15.7,16.6,15.5,82,82,78,12.6,12.7,12.3,943.9,944.4,943.9,0.0,191,1.1,-3.54,0.0
A506,01/05/2020,06,15.3,15.8,15.2,82,83,81,12.3,12.6,12.1,944.1,944.1,943.9,0.0,240,0.7,-3.54,0.0
A506,01/05/2020,07,16.1,16.1,15.3,79,82,79,12.5,12.6,12.1,944.1,944.2,944.0,0.4,227,1.5,-3.54,0.0
A506,01/05/2020,08,15.8,16.3,15.7,80,80,78,12.2,12.6,12.2,944.1,944.2,944.1,0.0,232,2.0,-3.54,0.0
A506,01/05/2020,09,14.5,15.8,14.5,82,82,79,11.5,12.2,11.5,944.7,944.7,944.1,0.0,301,1.1,-3.54,0.0
A506,01/05/2020,10,15.8,15.8,14.0,79,84,78,12.1,12.3,11.4,945.5,945.5,944.7,0.7,220,1.5,191.2,0.0
A506,01/05/2020,11,20.3,20.3,15.8,66,79,66,13.7,13.9,12.1,946.1,946.1,945.5,0.2,209,2.1,1051.,0.0
A506,01/05/2020,12,23.5,23.7,20.2,56,66,55,14.1,15.1,13.4,946.8,946.8,946.1,1.1,17,2.2,1842.,0.0
A506,01/05/2020,13,25.5,25.7,23.5,52,57,51,15.0,15.2,13.8,946.9,947.0,946.8,0.7,53,2.7,2471.,0.0
A506,01/05/2020,14,26.9,27.2,25.5,47,52,46,14.6,15.5,14.3,946.1,946.9,946.1,1.6,40,4.0,2932.,0.0
A506,01/05/2020,15,28.2,28.5,26.9,40,48,39,13.4,15.7,12.4,945.1,946.1,945.1,1.1,290,4.5,3212.,0.0
A506,01/05/2020,16,29.2,29.2,27.7,38,42,38,13.4,14.4,12.9,944.1,945.1,944.1,1.8,43,6.1,3228.,0.0
A506,01/05/2020,17,28.8,30.0,28.4,36,41,35,12.2,14.2,12.1,943.4,944.1,943.4,1.8,233,4.5,2821.,0.0
A506,01/05/2020,18,29.2,30.1,28.3,36,41,35,12.4,14.0,12.3,942.8,943.4,942.8,1.5,301,5.3,1871.,0.0
A506,01/05/2020,19,28.5,29.5,27.9,41,41,35,13.9,14.0,12.0,942.7,942.8,942.6,1.8,325,4.1,1228.,0.0
A506,01/05/2020,20,26.9,28.5,26.8,46,46,40,14.4,14.5,13.6,943.2,943.2,942.7,1.7,333,3.8,375.9,0.0
A506,01/05/2020,21,24.8,26.9,24.8,54,54,46,14.8,14.8,14.3,943.4,943.4,943.2,0.5,285,3.0,82.27,0.0
A506,01/05/2020,22,24.6,25.1,24.5,55,55,52,14.8,14.8,14.5,944.0,944.0,943.4,0.1,259,1.9,-3.54,0.0
A506,01/05/2020,23,23.2,24.6,23.2,55,58,53,13.7,15.3,13.6,944.6,944.6,944.0,1.7,238,3.8,-3.54,0.0
A506,02/05/2020,00,22.0,23.2,22.0,58,58,55,13.4,13.8,13.4,944.8,944.8,944.6,0.4,215,2.7,-3.54,0.0
A506,02/05/2020,01,21.2,22.0,21.0,60,61,58,13.1,13.5,13.0,944.7,944.9,944.7,0.2,169,1.7,-3.54,0.0
A506,02/05/2020,02,18.8,21.2,18.8,68,69,60,12.8,13.2,12.8,945.0,945.0,944.7,0.2,309,3.2,-3.54,0.0
A506,02/05/2020,03,17.7,18.8,17.5,75,75,68,13.1,13.1,12.8,944.8,945.1,944.8,0.8,240,2.8,-3.54,0.0
A506,02/05/2020,04,17.0,18.5,17.0,76,76,72,12.7,13.4,12.7,944.1,944.8,944.1,0.0,126,1.7,-3.54,0.0
A506,02/05/2020,05,16.9,17.7,16.9,75,76,74,12.5,13.2,12.5,943.6,944.1,943.6,0.0,267,1.7,-3.54,0.0
A506,02/05/2020,06,16.1,16.9,16.1,78,78,75,12.2,12.5,12.2,943.7,943.7,943.6,0.8,33,1.7,-3.54,0.0
A506,02/05/2020,07,16.2,16.9,15.8,78,80,76,12.3,12.7,12.2,943.5,943.7,943.4,0.4,239,1.7,-3.53,0.0
A506,02/05/2020,08,16.1,16.4,16.1,79,79,78,12.5,12.6,12.4,943.7,943.7,943.4,0.0,244,1.5,-3.54,0.0
A506,02/05/2020,09,15.8,16.2,15.7,80,80,78,12.3,12.5,12.1,944.1,944.1,943.6,0.0,215,0.0,-3.54,0.0
A506,02/05/2020,10,17.5,17.5,15.6,76,81,76,13.3,13.3,12.2,944.5,944.5,944.1,0.0,204,1.6,175.3,0.0
A506,02/05/2020,11,20.8,20.9,17.6,66,76,66,14.3,14.6,12.7,945.2,945.2,944.5,0.0,285,1.3,1016.,0.0
A506,02/05/2020,12,23.7,23.8,20.7,61,67,61,15.8,16.1,14.2,945.5,945.5,945.2,1.3,18,2.6,1811.,0.0
A506,02/05/2020,13,26.4,26.5,23.7,57,62,57,17.2,17.8,15.8,945.3,945.5,945.3,2.0,33,4.5,2450.,0.0
A506,02/05/2020,14,26.9,27.7,25.8,53,59,53,16.6,18.0,16.6,944.3,945.3,944.3,1.8,353,5.4,2899.,0.0
A506,02/05/2020,15,28.4,28.7,26.7,47,56,46,15.9,17.7,15.9,943.0,944.3,943.0,1.1,357,5.0,3182.,0.0
A506,02/05/2020,16,29.3,30.0,28.4,40,47,39,14.3,16.4,13.8,941.9,943.0,941.9,1.4,289,5.1,3161.,0.0
A506,02/05/2020,17,30.8,31.2,28.7,30,41,30,11.4,15.2,11.2,940.9,941.9,940.9,2.5,266,5.4,2642.,0.0
A506,02/05/2020,18,30.7,31.3,29.8,33,34,28,12.6,13.3,10.2,940.2,940.9,940.2,1.0,207,5.1,1997.,0.0
A506,02/05/2020,19,30.6,31.2,30.1,32,34,31,12.0,12.9,11.5,940.3,940.3,940.1,2.4,262,5.1,1434.,0.0
A506,02/05/2020,20,29.4,30.8,29.4,35,35,32,12.1,12.4,11.8,940.6,940.6,940.3,2.5,216,4.4,711.9,0.0
A506,02/05/2020,21,27.2,29.4,27.2,41,41,34,12.8,12.8,11.9,940.9,940.9,940.5,1.4,194,4.3,81.65,0.0
A506,02/05/2020,22,24.4,27.2,24.4,53,53,41,14.1,14.2,12.9,941.6,941.6,940.9,0.0,257,2.6,-3.54,0.0
A506,02/05/2020,23,22.6,24.4,22.2,61,62,53,14.8,15.1,14.1,942.5,942.5,941.6,0.2,356,1.1,-3.54,0.0
A506,03/05/2020,00,22.4,22.6,21.5,63,66,61,14.9,15.3,14.5,942.9,942.9,942.5,1.1,237,2.4,-3.54,0.0
A506,03/05/2020,01,20.4,22.6,20.4,69,69,61,14.5,14.9,14.3,942.9,943.0,942.9,0.0,273,2.4,-3.54,0.0
A506,03/05/2020,02,20.0,20.8,19.8,70,70,68,14.3,14.7,14.2,942.8,942.9,942.8,0.1,130,1.3,-3.54,0.0
A506,03/05/2020,03,19.4,20.2,19.0,74,74,70,14.5,14.7,14.1,942.4,942.8,942.4,0.0,204,1.7,-3.54,0.0
A506,03/05/2020,04,19.1,19.5,19.0,74,74,73,14.2,14.5,14.2,941.8,942.4,941.8,0.6,193,2.4,-3.54,0.0
A506,03/05/2020,05,18.0,19.1,17.6,77,79,73,14.0,14.3,13.6,941.4,941.8,941.4,0.7,192,2.0,-3.54,0.0
A506,03/05/2020,06,16.5,18.0,16.5,81,81,77,13.3,14.0,13.3,941.1,941.4,941.1,0.0,318,1.7,-3.54,0.0
A506,03/05/2020,07,16.1,17.1,16.0,83,83,80,13.1,13.8,13.0,941.2,941.2,941.1,0.0,198,1.2,-3.54,0.0
A506,03/05/2020,08,16.0,16.3,15.9,82,83,82,13.0,13.3,12.9,941.5,941.5,941.1,0.0,207,1.3,-3.54,0.0
A506,03/05/2020,09,15.7,16.0,15.6,82,83,82,12.7,13.0,12.6,942.1,942.1,941.5,0.1,270,1.4,-3.54,0.0
A506,03/05/2020,10,17.7,17.7,15.6,76,82,76,13.3,13.3,12.6,942.9,942.9,942.1,0.0,224,0.9,216.3,0.0
A506,03/05/2020,11,20.7,20.9,17.7,68,76,67,14.5,14.7,13.2,943.5,943.5,942.9,0.4,42,1.8,1017.,0.0
A506,03/05/2020,12,24.5,24.5,20.7,56,68,56,15.2,15.5,14.2,944.0,944.0,943.5,0.1,269,1.8,1727.,0.0
A506,03/05/2020,13,27.1,27.1,24.3,41,56,41,12.7,15.0,12.4,943.9,944.1,943.9,1.3,32,2.5,2455.,0.0
A506,03/05/2020,14,29.1,29.1,27.0,37,42,36,12.9,13.8,11.9,943.2,944.0,943.2,1.1,356,3.1,2896.,0.0
A506,03/05/2020,15,29.5,29.5,28.3,34,39,33,12.0,13.3,11.1,942.2,943.2,942.2,1.2,29,4.6,3148.,0.0
A506,03/05/2020,16,30.1,30.3,29.0,31,35,31,11.3,12.5,10.7,941.2,942.2,941.2,2.1,346,5.4,3019.,0.0
A506,03/05/2020,17,30.3,30.7,29.5,31,33,30,11.1,12.1,10.8,940.2,941.2,940.2,2.3,24,6.5,2801.,0.0
A506,03/05/2020,18,29.6,30.6,29.5,31,34,30,10.8,12.0,10.5,939.7,940.2,939.7,2.4,339,6.5,1822.,0.0
A506,03/05/2020,19,29.6,30.5,28.9,35,37,31,12.7,13.2,10.5,939.8,939.8,939.7,2.0,6,4.3,1088.,0.0
A506,03/05/2020,20,28.7,30.1,28.7,38,39,35,13.0,14.0,12.7,940.2,940.2,939.8,2.1,4,5.5,933.6,0.0
A506,03/05/2020,21,26.8,28.7,26.8,43,43,37,13.2,13.7,12.4,940.7,940.7,940.2,1.3,357,3.7,116.5,0.0
A506,03/05/2020,22,25.6,26.9,24.0,41,52,41,11.3,13.9,11.3,941.3,941.3,940.7,2.1,254,3.6,-3.46,0.0
A506,03/05/2020,23,23.5,26.0,23.5,47,47,39,11.6,11.6,10.6,941.9,941.9,941.3,1.6,257,4.4,-3.54,0.0
A506,04/05/2020,00,22.7,23.5,22.3,53,53,47,12.5,12.5,11.8,942.2,942.3,941.9,1.5,215,2.7,-3.54,0.0
A506,04/05/2020,01,20.4,22.7,20.0,62,63,53,12.8,12.8,12.3,942.3,942.3,942.1,0.7,248,2.2,-3.54,0.0
A506,04/05/2020,02,19.7,20.4,18.6,64,67,62,12.8,13.2,12.3,942.2,942.3,942.1,0.2,237,1.5,-3.54,0.0
A506,04/05/2020,03,18.7,19.7,17.8,68,71,65,12.7,12.8,12.3,941.7,942.2,941.7,0.0,233,1.6,-3.54,0.0
A506,04/05/2020,04,16.7,18.7,16.6,76,76,68,12.5,12.8,12.4,941.1,941.8,941.1,0.5,345,1.9,-3.54,0.0
A506,04/05/2020,05,15.4,17.0,15.1,80,81,74,12.1,12.7,11.9,941.2,941.2,941.0,1.8,315,3.4,-3.54,0.0
A506,04/05/2020,06,16.5,16.7,15.1,76,81,76,12.3,12.7,11.9,940.8,941.2,940.8,0.4,228,2.8,-3.54,0.0
A506,04/05/2020,07,15.6,16.7,15.6,78,78,75,11.7,12.3,11.7,941.2,941.2,940.8,0.0,277,1.8,-3.54,0.0
A506,04/05/2020,08,16.2,16.5,15.4,75,78,75,11.9,12.1,11.5,941.5,941.5,941.2,0.5,233,2.0,-3.54,0.0
A506,04/05/2020,09,16.2,16.5,15.8,77,78,75,12.1,12.2,11.8,942.1,942.1,941.5,0.1,225,1.7,-3.53,0.0
A506,04/05/2020,10,17.7,17.7,15.9,73,78,73,12.9,12.9,12.0,943.0,943.0,942.1,0.0,249,1.1,212.1,0.0
A506,04/05/2020,11,20.6,20.6,17.7,67,73,66,14.3,14.4,12.9,943.6,943.6,943.0,0.3,268,1.5,990.9,0.0
A506,04/05/2020,12,23.2,23.6,20.6,63,67,62,15.7,16.2,14.3,943.9,943.9,943.6,1.4,16,3.1,1785.,0.0
A506,04/05/2020,13,25.0,25.2,23.2,59,63,58,16.4,16.8,15.7,944.0,944.1,943.9,1.8,79,5.4,2453.,0.0
A506,04/05/2020,14,26.4,26.6,25.1,53,59,51,16.0,16.7,15.2,943.2,944.0,943.2,2.3,13,5.9,2948.,0.0
A506,04/05/2020,15,27.5,27.5,26.0,49,54,49,16.0,16.2,15.0,942.3,943.2,942.3,3.1,31,7.3,2902.,0.0
A506,04/05/2020,16,28.1,28.3,26.8,46,50,45,15.3,16.0,14.9,941.4,942.3,941.4,2.7,67,7.4,3051.,0.0
A506,04/05/2020,17,27.8,28.3,27.2,43,47,43,14.1,15.6,14.0,940.8,941.4,940.8,3.2,14,6.0,2641.,0.0
A506,04/05/2020,18,28.2,28.7,27.7,41,44,38,13.5,14.6,12.9,940.3,940.8,940.3,2.2,348,6.0,2361.,0.0
A506,04/05/2020,19,27.7,28.4,27.7,40,41,37,12.8,13.6,11.9,940.2,940.3,940.2,2.4,15,5.4,1530.,0.0
A506,04/05/2020,20,26.4,27.8,26.4,44,44,40,13.1,13.7,13.0,940.5,940.5,940.2,2.6,28,5.1,713.6,0.0
A506,04/05/2020,21,24.1,26.4,24.1,52,52,43,13.7,13.7,12.7,940.8,940.8,940.5,1.3,358,4.3,71.49,0.0
A506,04/05/2020,22,22.1,24.1,22.1,61,61,52,14.3,14.4,13.8,941.4,941.4,940.8,0.8,330,2.7,-3.54,0.0
A506,04/05/2020,23,21.7,22.2,21.5,64,64,61,14.5,14.6,14.3,942.0,942.0,941.4,1.4,359,3.5,-3.54,0.0
A506,05/05/2020,00,20.8,21.7,20.8,68,68,64,14.6,14.7,14.4,942.1,942.2,941.9,0.5,32,3.6,-3.54,0.0
A506,05/05/2020,01,19.8,20.8,19.3,73,74,68,14.9,14.9,14.3,942.3,942.4,942.1,1.4,307,1.9,-3.54,0.0
A506,05/05/2020,02,18.3,19.8,18.3,78,78,73,14.3,14.8,14.3,942.3,942.4,942.3,0.1,313,1.9,-3.54,0.0
A506,05/05/2020,03,18.7,18.7,18.0,78,79,78,14.7,14.7,14.2,942.2,942.4,942.1,0.0,200,1.4,-3.54,0.0
A506,05/05/2020,04,18.3,18.7,18.3,78,78,78,14.5,14.7,14.4,942.0,942.2,942.0,0.2,202,1.2,-3.54,0.0
A506,05/05/2020,05,17.5,18.3,17.3,81,82,78,14.2,14.5,14.1,941.6,942.0,941.6,0.0,112,1.2,-3.54,0.0
A506,05/05/2020,06,17.0,17.9,17.0,81,82,80,13.7,14.4,13.7,941.7,941.8,941.6,0.2,197,1.6,-3.54,0.0
A506,05/05/2020,07,17.5,17.5,16.9,81,82,81,14.2,14.2,13.7,941.8,941.8,941.6,1.3,194,2.4,-3.54,0.0
A506,05/05/2020,08,16.8,17.6,16.4,84,84,80,14.1,14.4,13.6,942.1,942.1,941.7,0.1,205,2.7,-3.54,0.0
A506,05/05/2020,09,16.2,17.1,16.1,85,85,83,13.6,14.2,13.3,942.7,942.7,942.1,0.0,212,1.6,-3.54,0.0
A506,05/05/2020,10,18.0,18.0,16.0,80,85,80,14.4,14.5,13.5,943.4,943.4,942.7,0.1,171,1.6,208.0,0.0
A506,05/05/2020,11,20.8,20.8,17.9,72,80,72,15.6,15.8,14.2,944.1,944.1,943.4,0.0,159,1.2,991.4,0.0
A506,05/05/2020,12,22.6,22.6,20.8,66,73,66,16.0,16.6,15.6,944.4,944.5,944.1,2.5,33,4.9,1801.,0.0
A506,05/05/2020,13,25.0,25.0,22.5,57,67,57,15.9,16.6,15.8,944.2,944.5,944.2,1.8,2,7.1,2431.,0.0
A506,05/05/2020,14,26.1,26.1,24.4,54,59,52,16.0,16.3,15.1,943.7,944.3,943.7,1.6,19,6.3,2862.,0.0
A506,05/05/2020,15,27.2,27.8,25.8,46,54,45,14.6,15.9,14.3,942.7,943.7,942.7,1.4,349,5.0,3057.,0.0
A506,05/05/2020,16,28.4,28.7,27.1,42,48,42,14.2,15.3,13.8,941.7,942.7,941.7,1.3,345,4.8,2995.,0.0
A506,05/05/2020,17,29.5,29.6,28.1,33,42,28,11.5,13.8,9.1,940.6,941.7,940.6,1.4,340,5.5,2765.,0.0
A506,05/05/2020,18,29.3,30.3,29.0,30,33,26,10.2,11.5,8.6,940.1,940.6,940.1,2.4,267,4.7,2201.,0.0
A506,05/05/2020,19,29.2,29.9,28.9,30,31,29,10.0,10.5,9.3,940.2,940.2,940.0,1.9,288,4.3,1496.,0.0
A506,05/05/2020,20,27.8,29.3,27.8,34,35,30,10.7,10.9,9.6,940.5,940.5,940.2,0.9,320,3.1,686.7,0.0
A506,05/05/2020,21,24.8,27.9,24.7,47,47,34,12.8,12.8,10.7,940.8,940.8,940.5,0.7,297,2.4,67.03,0.0
A506,05/05/2020,22,22.5,24.8,22.2,56,58,47,13.2,13.5,12.3,941.3,941.3,940.8,0.2,262,2.7,-3.54,0.0
A506,05/05/2020,23,22.3,23.3,22.3,58,58,54,13.7,13.7,13.0,941.9,941.9,941.3,0.7,219,2.2,-3.54,0.0
A506,06/05/2020,00,19.1,22.3,19.0,71,71,57,13.6,14.0,13.4,942.5,942.5,941.9,1.9,263,2.9,-3.54,0.0
A506,06/05/2020,01,18.9,20.0,18.9,69,71,67,13.2,14.1,13.2,942.6,942.6,942.5,0.0,281,2.9,-3.54,0.0
A506,06/05/2020,02,19.1,19.4,18.5,70,71,69,13.4,13.6,13.0,942.6,942.6,942.6,0.7,218,2.1,-3.54,0.0
A506,06/05/2020,03,18.7,19.1,18.7,70,70,69,13.1,13.4,13.1,942.6,942.6,942.4,0.8,208,1.7,-3.54,0.0
A506,06/05/2020,04,17.7,18.7,17.7,74,74,70,12.9,13.2,12.9,941.9,942.6,941.9,0.2,203,1.9,-3.54,0.0
A506,06/05/2020,05,17.4,17.8,17.2,75,76,74,13.0,13.1,12.8,941.5,941.9,941.5,0.4,211,2.5,-3.54,0.0
A506,06/05/2020,06,16.4,17.4,16.3,79,79,75,12.7,12.9,12.4,941.3,941.6,941.3,0.0,219,1.3,-3.54,0.0
A506,06/05/2020,07,16.4,16.7,16.4,79,79,78,12.8,12.9,12.6,941.3,941.3,941.2,0.2,197,1.7,-3.54,0.0
