codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_vel,vento_direcao, vento_rajada,radiacao,precipitacao
A302,01/05/2020,00,27.9,28.0,27.5,,,,,,,1012.6,1012.9,1012.6,,,,25.53,0.0
A302,01/05/2020,01,28.0,28.1,27.9,,,,,,,1011.7,1012.6,1011.7,,,,19.58,0.0
A302,01/05/2020,02,28.0,28.2,28.0,,,,,,,1011.4,1011.7,1011.3,,,,4.957,0.0
A302,01/05/2020,03,28.2,28.3,28.0,,,,,,,1011.0,1011.4,1011.0,,,,-3.58,0.0
A302,01/05/2020,04,27.2,28.4,27.1,,,,,,,1010.4,1011.0,1010.4,,,,4.423,1.0
A302,01/05/2020,05,27.8,27.9,26.8,,,,,,,1010.4,1010.4,1010.1,,,,8.651,1.0
A302,01/05/2020,06,28.0,28.2,27.8,,,,,,,1011.1,1011.1,1010.4,,,,0.839,0.0
A302,01/05/2020,07,25.6,28.2,25.3,,,,,,,1011.7,1011.7,1011.1,,,,9.077,1.4
A302,01/05/2020,08,26.9,26.9,25.6,,,,,,,1012.0,1012.0,1011.7,,,,69.80,0.0
A302,01/05/2020,09,28.4,28.4,26.9,,,,,,,1012.7,1012.7,1011.9,,,,369.8,0.0
A302,01/05/2020,10,29.3,29.3,28.3,,,,,,,1013.2,1013.3,1012.7,,,,939.4,0.0
A302,01/05/2020,11,30.1,30.2,29.2,,,,,,,1013.3,1013.5,1013.2,,,,2017.,0.0
A302,01/05/2020,12,31.1,31.1,30.0,,,,,,,1013.1,1013.3,1013.1,,,,2162.,0.0
A302,01/05/2020,13,31.1,31.4,30.1,,,,,,,1012.3,1013.1,1012.3,,,,3013.,0.0
A302,01/05/2020,14,31.9,32.0,31.2,,,,,,,1011.7,1012.3,1011.6,,,,3458.,0.0
A302,01/05/2020,15,31.9,32.1,31.5,,,,,,,1010.6,1011.7,1010.6,,,,2889.,0.0
A302,01/05/2020,16,31.5,31.9,31.1,,,,,,,1010.4,1010.6,1010.3,,,,1864.,0.0
A302,01/05/2020,17,31.6,31.8,31.3,,,,,,,1010.4,1010.4,1010.3,,,,1799.,0.0
A302,01/05/2020,18,31.3,31.7,31.1,,,,,,,1010.7,1010.7,1010.4,,,,1062.,0.0
A302,01/05/2020,19,29.2,31.3,29.1,,,,,,,1011.1,1011.1,1010.7,,,,161.0,0.2
A302,01/05/2020,20,29.1,29.2,29.0,,,,,,,1011.7,1011.7,1011.1,,,,-0.71,0.0
A302,01/05/2020,21,28.9,29.1,28.9,,,,,,,1012.4,1012.4,1011.7,,,,-3.35,0.0
A302,01/05/2020,22,28.9,29.1,28.8,,,,,,,1012.8,1012.8,1012.4,,,,-3.59,0.0
A302,02/05/2020,00,28.7,28.9,28.6,,,,,,,1013.1,1013.3,1013.1,,,,-3.35,0.0
A302,02/05/2020,01,28.6,28.8,28.6,,,,,,,1012.5,1013.1,1012.5,,,,-3.59,0.0
A302,02/05/2020,02,28.5,28.7,28.4,,,,,,,1011.9,1012.5,1011.9,,,,-3.54,0.0
A302,02/05/2020,03,28.5,28.7,28.4,,,,,,,1011.2,1011.9,1011.2,,,,-3.43,0.0
A302,02/05/2020,04,28.5,28.6,28.2,,,,,,,1011.0,1011.2,1010.9,,,,-3.52,0.0
A302,02/05/2020,05,28.4,28.5,28.2,,,,,,,1011.0,1011.1,1010.9,,,,-3.60,0.0
A302,02/05/2020,06,28.4,28.4,28.2,,,,,,,1011.5,1011.5,1010.9,,,,-3.59,0.0
A302,02/05/2020,07,28.2,28.4,28.1,,,,,,,1011.7,1011.8,1011.5,,,,3.785,0.0
A302,02/05/2020,08,29.3,29.3,28.2,,,,,,,1012.3,1012.3,1011.7,,,,316.2,0.0
A302,02/05/2020,09,29.8,29.9,29.3,,,,,,,1013.1,1013.1,1012.3,,,,1023.,0.0
A302,02/05/2020,10,30.0,30.4,29.8,,,,,,,1013.6,1013.7,1013.1,,,,1525.,0.0
A302,02/05/2020,11,31.0,31.1,30.0,,,,,,,1013.7,1013.7,1013.5,,,,2649.,0.0
A302,02/05/2020,12,31.4,31.5,31.0,,,,,,,1013.1,1013.7,1013.1,,,,2674.,0.0
A302,02/05/2020,13,31.7,32.0,31.3,,,,,,,1012.1,1013.1,1012.1,,,,3397.,0.0
A302,02/05/2020,14,29.1,32.0,29.0,,,,,,,1011.5,1012.1,1011.5,,,,2098.,0.0
A302,02/05/2020,15,31.5,31.8,29.1,,,,,,,1010.9,1011.5,1010.9,,,,2770.,0.0
A302,02/05/2020,16,28.2,31.4,28.2,,,,,,,1010.3,1010.9,1010.3,,,,1223.,0.0
A302,02/05/2020,17,29.3,29.8,28.2,,,,,,,1010.2,1010.4,1010.1,,,,1327.,0.0
A302,02/05/2020,18,30.2,30.8,29.3,,,,,,,1010.6,1010.6,1010.1,,,,1050.,0.0
A302,02/05/2020,19,29.2,30.3,29.2,,,,,,,1011.2,1011.2,1010.6,,,,242.5,0.0
A302,02/05/2020,20,28.9,29.3,28.8,,,,,,,1011.6,1011.6,1011.2,,,,-3.20,0.0
A302,02/05/2020,21,28.8,29.1,28.7,,,,,,,1011.9,1011.9,1011.6,,,,-3.57,0.0
A302,02/05/2020,22,28.6,28.8,28.6,,,,,,,1012.0,1012.1,1011.9,,,,-3.56,0.0
