codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_vel,vento_direcao, vento_rajada,radiacao,precipitacao
A894,01/05/2020,00,14.9,18.3,14.9,60,60,44,7.1,7.1,5.9,962.3,962.3,961.9,0.3,239,2.0,-3.54,0.0
A894,01/05/2020,01,15.1,15.1,14.4,64,64,59,8.2,8.2,7.1,963.0,963.0,962.3,0.1,87,1.3,-2.69,0.0
A894,01/05/2020,02,14.5,15.1,14.5,69,69,61,8.9,8.9,7.6,963.2,963.2,962.9,0.3,330,1.0,-2.23,0.0
A894,01/05/2020,03,13.5,14.7,13.4,83,85,67,10.8,11.0,8.5,963.1,963.3,962.9,0.6,228,1.7,-2.67,0.0
A894,01/05/2020,04,12.8,13.9,12.8,87,87,78,10.7,10.8,10.0,962.8,963.1,962.8,0.3,345,1.5,-3.12,0.0
A894,01/05/2020,05,12.3,13.1,12.2,86,88,85,10.0,10.9,9.7,962.7,963.0,962.6,0.2,315,1.1,-3.13,0.0
A894,01/05/2020,06,11.9,12.5,11.8,87,88,86,9.8,10.5,9.7,962.5,962.7,962.2,0.5,237,1.4,-2.63,0.0
A894,01/05/2020,07,12.3,12.5,11.9,88,89,85,10.4,10.4,9.8,962.2,962.5,962.1,0.4,139,1.6,-2.43,0.0
A894,01/05/2020,08,12.2,12.5,12.0,89,90,86,10.5,10.6,10.1,962.0,962.2,961.8,0.8,188,1.8,-2.46,0.0
A894,01/05/2020,09,12.4,12.5,12.0,89,91,89,10.6,10.9,10.5,963.1,963.4,961.9,0.5,70,1.7,-2.68,0.0
A894,01/05/2020,10,12.4,12.8,12.3,88,90,84,10.5,10.7,10.2,962.5,963.1,962.3,0.9,57,2.9,-2.33,0.2
A894,01/05/2020,11,13.8,14.1,12.2,80,89,79,10.4,10.8,9.9,963.2,963.2,962.5,0.6,70,3.1,179.2,0.0
A894,01/05/2020,12,16.2,16.2,13.8,66,81,65,9.8,11.1,9.8,963.1,963.2,962.9,1.1,342,2.4,650.1,0.0
A894,01/05/2020,13,18.5,18.6,16.2,50,66,50,7.9,10.0,7.7,963.4,963.4,963.1,0.8,270,2.5,1030.,0.0
A894,01/05/2020,14,21.1,21.6,18.4,37,51,37,5.9,8.8,5.3,963.2,963.5,963.2,0.8,12,2.9,1578.,0.0
A894,01/05/2020,15,23.0,23.5,20.8,33,41,33,5.9,8.4,5.7,962.9,963.2,962.8,2.2,347,4.3,1961.,0.0
A894,01/05/2020,16,24.5,24.8,22.9,30,35,30,6.0,7.0,5.2,962.3,962.9,962.3,2.8,291,7.4,2186.,0.0
A894,01/05/2020,17,25.0,25.3,24.0,30,32,29,6.4,6.8,5.7,961.3,962.3,961.3,2.8,254,7.6,2140.,0.0
A894,01/05/2020,18,25.1,26.2,24.5,32,33,28,7.1,7.4,5.6,960.8,961.3,960.7,1.9,308,5.8,1640.,0.0
A894,01/05/2020,19,26.2,26.8,25.2,25,32,25,4.3,7.1,4.3,960.5,960.8,960.4,3.3,225,7.3,1484.,0.0
A894,01/05/2020,20,24.8,26.2,24.8,26,26,24,4.0,4.7,3.5,960.9,960.9,960.5,3.3,255,7.3,763.8,0.0
A894,01/05/2020,21,21.3,24.8,21.3,34,34,26,4.8,4.8,3.9,961.0,961.0,960.8,2.0,277,6.4,175.2,0.0
A894,01/05/2020,22,20.4,21.3,19.9,36,39,34,4.7,5.8,4.7,961.1,961.1,961.0,2.5,231,4.4,-3.54,0.0
A894,01/05/2020,23,18.3,20.4,17.5,41,44,35,4.9,5.3,4.4,961.7,961.7,961.1,1.3,175,3.3,-3.54,0.0
A894,02/05/2020,00,15.9,19.0,15.9,57,57,40,7.4,8.0,4.7,962.0,962.0,961.7,0.5,233,3.7,-3.54,0.0
A894,02/05/2020,01,13.3,16.0,13.3,69,69,57,7.7,8.2,7.5,962.3,962.4,962.0,0.3,163,1.4,-3.54,0.0
A894,02/05/2020,02,12.4,13.5,11.8,76,77,69,8.3,8.3,7.6,962.5,962.5,962.3,0.4,195,1.0,-3.54,0.0
A894,02/05/2020,03,11.1,12.4,10.8,81,82,74,8.0,8.2,7.5,962.6,962.6,962.4,0.2,87,0.9,-3.54,0.0
A894,02/05/2020,04,9.7,11.1,9.6,84,86,79,7.2,8.0,7.0,962.6,962.7,962.5,0.4,144,0.8,-3.54,0.0
A894,02/05/2020,05,8.4,9.7,8.4,89,89,84,6.7,7.3,6.6,962.5,962.7,962.5,0.2,259,0.7,-3.54,0.0
A894,02/05/2020,06,7.8,8.7,7.7,92,92,89,6.6,7.2,6.1,962.3,962.5,962.3,0.5,204,0.9,-3.54,0.0
A894,02/05/2020,07,6.8,8.0,6.8,92,94,91,5.6,6.8,5.6,962.2,962.3,962.0,0.7,48,1.1,-3.54,0.0
